Symbol, TimeStamp,  QuoteTimeStamp, SequenceNumber, BidTimeStamp,Bid, BidSize,  BidExchange, AskTimeStamp, Ask, AskSize, AskExchange,BidVol,MidVol,AskVol,Delta,EstDelta,Gamma,Rho,Vega,Theta,UnderlierBid,UnderlierAsk,ForwardPrice,Borrow,Reserved1,Reserved2,WMP,PFE
SPY   160527C00182500,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712961,5/26/2016 8:44:36 AM,26.96,15,C,5/26/2016 8:44:36 AM,27.24,20,M,0,0,1.17226,0.97837,0.97837,0.00353,0.00452,0.00636,-0.11431,209.62,209.63,209.62517,0.00017,27.125,-0.025,0,0,
SPY   160527C00183000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3713004,5/26/2016 8:44:36 AM,26.46,20,M,5/26/2016 8:44:36 AM,26.74,20,M,0,0,1.15237,0.97804,0.97804,0.00364,0.00463,0.00647,-0.11425,209.62,209.63,209.62517,0.00017,26.625,-0.025,0,0,
SPY   160527C00183500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775871,5/26/2016 8:44:58 AM,25.98,30,M,5/26/2016 8:44:58 AM,26.27,20,M,0,0,1.16252,0.97495,0.97495,0.00403,0.00471,0.00716,-0.13421,209.63,209.64,209.63516,0.00017,26.135,-0.01,0,0,
SPY   160527C00184000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712922,5/26/2016 8:44:36 AM,25.45,15,C,5/26/2016 8:44:36 AM,25.74,20,M,0,0,1.11287,0.97735,0.97735,0.00387,0.00484,0.00699,-0.11435,209.62,209.63,209.62517,0.00017,25.625,-0.03,0,0,
SPY   160527C00184500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775885,5/26/2016 8:44:58 AM,24.98,30,M,5/26/2016 8:44:58 AM,25.27,20,M,0,0,1.12243,0.97413,0.97413,0.00429,0.00446,0.00787,-0.13426,209.63,209.64,209.63516,0.00017,25.135,-0.01,0,0,
SPY   160527C00185000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712978,5/26/2016 8:44:36 AM,24.45,15,C,5/26/2016 8:44:36 AM,24.74,20,M,0,0,1.07321,0.97661,0.97661,0.00412,0.00471,0.00698,-0.11426,209.62,209.63,209.62517,0.00017,24.625,-0.03,0,0,
SPY   160527C00185500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775880,5/26/2016 8:44:58 AM,23.98,30,M,5/26/2016 8:44:58 AM,24.27,20,M,0,0,1.08201,0.9733,0.9733,0.00457,0.00483,0.00784,-0.13426,209.63,209.64,209.63516,0.00017,24.135,-0.01,0,0,
SPY   160527C00186000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712959,5/26/2016 8:44:36 AM,23.46,20,M,5/26/2016 8:44:36 AM,23.74,20,M,0,0,1.03383,0.97581,0.97581,0.00439,0.00481,0.00692,-0.11434,209.62,209.63,209.62517,0.00017,23.625,-0.025,0,0,
SPY   160527C00186500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775872,5/26/2016 8:44:58 AM,22.98,30,M,5/26/2016 8:44:58 AM,23.27,20,M,0,0,1.04185,0.97236,0.97236,0.00488,0.00469,0.00772,-0.13425,209.63,209.64,209.63516,0.00017,23.135,-0.01,0,0,
SPY   160527C00187000,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759402,5/26/2016 8:44:52 AM,22.48,10,C,5/26/2016 8:44:37 AM,22.74,30,M,0,0,0.99471,0.97494,0.97494,0.00471,0.00448,0.0075,-0.11436,209.62,209.63,209.62517,0.00017,22.625,-0.015,0,0,
SPY   160527C00187500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775876,5/26/2016 8:44:58 AM,21.98,30,M,5/26/2016 8:44:58 AM,22.27,20,M,0,0,1.00148,0.97141,0.97141,0.00522,0.00515,0.00839,-0.13428,209.63,209.64,209.63516,0.00017,22.135,-0.01,0,0,
SPY   160527C00188000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712969,5/26/2016 8:44:36 AM,21.46,20,M,5/26/2016 8:44:36 AM,21.74,20,M,0,0,0.95487,0.97406,0.97406,0.00505,0.00515,0.0075,-0.11432,209.62,209.63,209.62517,0.00017,21.625,-0.025,0,0,
SPY   160527C00188500,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759389,5/26/2016 8:44:52 AM,20.98,10,C,5/26/2016 8:44:37 AM,21.24,30,M,0,0,0.93497,0.9736,0.9736,0.00523,0.00555,0.00735,-0.11432,209.62,209.63,209.62517,0.00017,21.125,-0.015,0,0,
SPY   160527C00189000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775881,5/26/2016 8:44:58 AM,20.49,30,M,5/26/2016 8:44:58 AM,20.72,20,M,0,0,0.87245,0.97841,0.97841,0.00474,0.00547,0.00651,-0.08447,209.63,209.64,209.63516,0.00017,20.635,-0.03,0,0,
SPY   160527C00189500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702213,5/26/2016 8:44:33 AM,19.99,21,J,5/26/2016 8:44:35 AM,20.22,10,C,0,0.7005,0.91889,0.99265,0.99265,0.00231,0.00481,0.00293,-0.01977,209.58,209.59,209.58517,0.00017,20.085,0.02,0,0,
SPY   160527C00190000,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702208,5/26/2016 8:44:33 AM,19.49,21,J,5/26/2016 8:44:35 AM,19.72,10,C,0,0.68378,0.89887,0.99252,0.99252,0.00241,0.00551,0.00284,-0.01976,209.58,209.59,209.58517,0.00017,19.585,0.02,0,0,
SPY   160527C00190500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702249,5/26/2016 8:44:32 AM,18.99,21,J,5/26/2016 8:44:35 AM,19.22,10,C,0,0.66791,0.87867,0.99233,0.99233,0.00253,0.00505,0.00282,-0.01978,209.58,209.59,209.58517,0.00017,19.085,0.02,0,0,
SPY   160527C00191000,5/26/2016 8:45:00 AM,5/26/2016 8:44:31 AM,3680138,5/26/2016 8:44:30 AM,18.49,10,C,5/26/2016 8:44:29 AM,18.71,21,J,0,0,0.79598,0.97658,0.97658,0.00555,0.00593,0.00653,-0.08447,209.62,209.63,209.62517,0.00017,18.625,-0.025,0,0,
SPY   160527C00191500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702255,5/26/2016 8:44:34 AM,17.99,21,J,5/26/2016 8:44:35 AM,18.22,10,C,0,0.63531,0.83863,0.99199,0.99199,0.00276,0.00536,0.00273,-0.01976,209.58,209.59,209.58517,0.00017,18.085,0.02,0,0,
SPY   160527C00192000,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702268,5/26/2016 8:44:33 AM,17.49,21,J,5/26/2016 8:44:35 AM,17.72,10,C,0,0.61958,0.81836,0.99175,0.99175,0.00291,0.00471,0.00327,-0.01977,209.58,209.59,209.58517,0.00017,17.585,0.02,0,0,
SPY   160527C00192500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702203,5/26/2016 8:44:34 AM,16.99,21,J,5/26/2016 8:44:35 AM,17.22,10,C,0,0.60268,0.79834,0.99159,0.99159,0.00303,0.00566,0.00269,-0.01978,209.58,209.59,209.58517,0.00017,17.085,0.02,0,0,
SPY   160527C00193000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770087,5/26/2016 8:44:57 AM,16.49,21,J,5/26/2016 8:44:57 AM,16.7,21,X,0,0,0.67333,0.98146,0.98146,0.00538,0.0061,0.00527,-0.0546,209.64,209.64999,209.64517,0.00017,16.645,-0.05,0,0,
